1_2813809,ai,random,human
2_2487280,random,human,ai
3_1451050,ai,human,random
4_2350799,ai,human,random
5_115617,random,ai,human
6_3242042,ai,human,random
7_508005,human,ai,random
8_1480571,ai,human,random
9_1618805,random,ai,human
10_3262729,ai,random,human
11_3239321,ai,random,human
12_2995760,ai,human,random
13_3694249,human,ai,random
14_243057,human,ai,random
15_985950,ai,random,human
16_1898551,ai,random,human
17_624016,ai,human,random
18_4495048,random,ai,human
19_2537660,random,ai,human
20_2406509,human,ai,random
21_1238728,human,random,ai
22_562122,ai,random,human
23_2012929,random,human,ai
24_624058,random,ai,human
25_2173127,ai,human,random
26_2385159,ai,human,random
27_2004949,random,ai,human
28_2920124,random,human,ai
29_2730014,random,ai,human
30_465807,ai,human,random